doy,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,14.854,8.36,16.252,7.241,10.38,4.831,10.516,13.81,10.293,18.54,10.215,31.221,16.697,28.56,11.048,18.875,7.767,8.51,9.259,4.778,5.15,3.409,4.438,7.747,5.842,8.864,4,9.277,31.597,7.398,12.011,23.465,10.619,21.298,10.929,6.111,27.074,5.291,20.008,17.852
32,14.584,14.22,9.524,10.225,7.671,12.582,14.297,16.001,12.778,15.395,9.109,11.276,10.946,15.539,12.553,14.008,7.591,6.762,7.912,4.91,4.082,5.929,8.038,4.065,9.309,5.173,6.661,4.263,16.876,21.697,20.584,22.917,17.752,21.547,21.914,9.587,11.836,9.817,25.013,4.97
60,29.488,15.135,49.424,,15.644,33.731,20.256,,13.757,38.432,32.595,,28.588,15.363,12.477,,15.166,14.785,11.942,,8.687,10.015,9.891,,10.679,10.807,13.331,,19.418,21.587,26.626,,18.903,35.868,52.14,,19.591,18.736,24.8,
61,,,,29.869,,,,33.84,,,,41.341,,,,38.571,,,,7.201,,,,5.062,,,,6.15,,,,23.455,,,,33.409,,,,24.605
91,29.527,10.296,14.474,,11.587,20.72,25.668,,13.058,19.377,16.27,,6.344,21.875,20.516,,13.497,11.221,14.305,,10.312,6.968,11.401,,10.413,7.817,6.163,,24.971,19.975,30.465,,13.172,26.284,35.11,,31.547,18.048,20.007,
92,,,,23.064,,,,11.561,,,,9.313,,,,22.179,,,,5.683,,,,10.1,,,,13.152,,,,23.215,,,,19.573,,,,17.662
121,7.409,6.112,8.62,,13.449,7.085,16.335,,12.247,6.305,11.776,,12.096,8.153,6.678,,8.727,3.037,6.781,,3.084,4.352,9.529,,9.299,3.058,8.686,,7.554,33.945,5.723,,9.137,9.68,6.746,,13.266,9.78,7.213,
122,,,,14.352,,,,5.019,,,,9.621,,,,13.196,,,,2.363,,,,2.585,,,,2.902,,,,5.792,,,,9.5,,,,10.071
152,43.752,26.51,45.723,,25.935,34.582,65.132,,29.831,27.341,26.006,,53.371,31.66,34.803,,41.183,21.445,21.26,,18.823,19.695,20.805,,18.643,18.996,29.804,,31.676,34.294,31.206,,61.285,31.658,46.782,,48.966,38.388,51.12,
153,,,,26.268,,,,43.365,,,,32.583,,,,56.51,,,,20.234,,,,19.397,,,,25.311,,,,35.682,,,,34.675,,,,40.376
182,67.475,41.113,41.668,,50.99,67.921,41.157,,68.735,59.812,42.103,,64.577,45.359,55.251,,49.421,30.308,55.825,,36.169,27.826,34.092,,28.045,43.623,35.127,,51.303,54.099,45.222,,44.633,46.3,103.558,,53.515,50.282,48.711,
183,,,,60.281,,,,66.025,,,,45.462,,,,61.385,,,,56.05,,,,33.101,,,,28.73,,,,40.282,,,,48.203,,,,38.712
213,21.108,36.054,22.329,,31.438,23.561,20.95,,22.086,22.696,22.041,,21.202,21.861,23.871,,34.108,15.479,18.345,,23.671,20.05,15.393,,17.981,27.612,20.883,,22.239,52.074,22.92,,24.001,20.347,41.452,,29.15,31.209,25.58,
214,,,,26.847,,,,21.404,,,,25.269,,,,27.769,,,,18.566,,,,18.796,,,,15.499,,,,22.223,,,,22.175,,,,23.668
244,27.751,28.41,42.209,,28.174,28.635,28.189,,28.638,28.368,28.414,,28.254,28.36,28.348,,28.363,22.907,23.951,,22.921,23.633,22.779,,22.826,33.974,22.919,,28.381,28.405,45.925,,36.252,52.828,39.104,,27.411,28.279,35.151,
245,,,,35.482,,,,28.591,,,,28.513,,,,28.217,,,,22.883,,,,22.923,,,,32.817,,,,27.12,,,,27.378,,,,27.388
274,6.588,8.318,6.317,,8.503,5.984,20.897,,8.307,6.72,5.904,,5.877,6.274,6.917,,6.724,5.499,5.635,,4.015,4.431,4.77,,3.943,6.106,4.507,,5.87,9.175,6.837,,7.601,6.448,11.278,,4.71,9.468,6.281,
275,,,,5.651,,,,6.384,,,,7.288,,,,10.154,,,,4.023,,,,6,,,,4.414,,,,9.821,,,,4.85,,,,4.678
305,5.802,6.849,4.816,,5.518,11.106,4.615,,6.727,5.245,4.893,,7.502,4.658,5.618,,8.51,4.136,5.283,,4.913,4.005,3.962,,4.47,5.51,4.686,,7.47,4.891,5.772,,5.775,6.009,6.844,,4.836,8.058,14.147,
306,,,,5.927,,,,4.587,,,,5.723,,,,5.481,,,,3.92,,,,4.818,,,,7.708,,,,7.46,,,,6.268,,,,7.307
335,7.844,24.567,8.207,,38.549,13.515,14.97,,12.853,34.207,10.375,,7.046,36.167,15.375,,12.232,7.109,6.116,,8.457,8.621,7.685,,7.98,9.283,7.577,,15.87,21.218,11.809,,10.756,8.99,13.661,,20.593,8.779,18.047,
336,,,,17.545,,,,15.796,,,,10.77,,,,12.109,,,,6.565,,,,9.684,,,,19.753,,,,18.162,,,,6.746,,,,13.298
